Name,Financial Status,Fulfillment Status,Taxes,Total,Discount Amount,Created_at (UTC),Lineitem quantity,Lineitem price,Cancelled at,Payment Method,Refunded Amount,Location,Source,Lineitem name
MX29-1673,partially_refunded,fulfilled,468.97,3400.0,0.0,02/01/2018 18:24:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,MARTIN
MX29-1674,paid,fulfilled,344.83,2500.0,0.0,02/01/2018 20:54:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS
MX29-1675,paid,fulfilled,248.28,1800.0,0.0,02/01/2018 21:15:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,DARIA JR
MX29-1676,paid,fulfilled,248.28,1800.0,0.0,02/01/2018 22:45:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,JANIS
MX29-1677,paid,fulfilled,227.58,1650.0,150.0,02/01/2018 23:16:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ESQUIVEL
MX29-1678,partially_refunded,fulfilled,248.28,1800.0,0.0,02/01/2018 23:22:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,HAWKING
MX29-1679,paid,fulfilled,227.58,1650.0,150.0,02/01/2018 23:28:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,DARIA JR
MX29-1680,paid,fulfilled,248.28,1800.0,0.0,03/01/2018 00:02:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,PARKS
MX29-1681,partially_refunded,fulfilled,248.28,1800.0,0.0,03/01/2018 00:10:00,1,1799.99,No cancelado,Cash,150.0,Tienda A,pos,MOLEMAN
MX29-1682,paid,fulfilled,238.34,3600.0,150.0,03/01/2018 00:45:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,WALTER
MX29-1683,paid,fulfilled,248.28,1800.0,0.0,03/01/2018 00:52:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,RUDYARD
MX29-1684,partially_refunded,fulfilled,248.28,1800.0,0.0,03/01/2018 01:15:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,RAMIREZ
MX29-1685,partially_refunded,fulfilled,248.28,1800.0,0.0,03/01/2018 01:20:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,ESQUIVEL
MX29-1686,paid,fulfilled,517.24,3750.0,0.0,03/01/2018 01:39:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MARTIN
MX29-1687,paid,fulfilled,317.24,2300.0,0.0,03/01/2018 01:45:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,SEYMOUR
MX29-1688,partially_refunded,fulfilled,248.28,1800.0,0.0,03/01/2018 01:50:00,1,1799.99,No cancelado,Cash,150.0,Tienda A,pos,CLARK
MX29-1689,paid,fulfilled,227.58,1650.0,150.0,03/01/2018 18:13:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,STANLEY
MX29-1690,paid,fulfilled,248.28,1800.0,0.0,03/01/2018 18:24:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,HAWKING
MX29-1691,paid,fulfilled,496.55,3600.0,150.0,03/01/2018 19:03:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN
MX29-1692,paid,fulfilled,248.28,1800.0,0.0,03/01/2018 19:10:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,SEYMOUR
MX29-1693,paid,fulfilled,248.28,1800.0,0.0,03/01/2018 19:33:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CHAVELA
MX29-1694,paid,fulfilled,248.28,1800.0,0.0,03/01/2018 19:44:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,HAWKING
MX29-1695,partially_refunded,fulfilled,96.55,700.0,1800.0,03/01/2018 20:21:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,DARIA JR
MX29-1696,paid,fulfilled,248.28,1800.0,0.0,03/01/2018 20:32:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,ALDOUS
MX29-1697,paid,fulfilled,248.28,1800.0,0.0,03/01/2018 20:37:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,JANIS
MX29-1698,paid,fulfilled,496.55,3600.0,0.0,03/01/2018 21:14:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,SEYMOUR
MX29-1699,paid,fulfilled,248.28,1800.0,0.0,03/01/2018 21:54:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN
MX29-1700,paid,fulfilled,248.28,1800.0,0.0,03/01/2018 22:00:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,RUDYARD
MX29-1701,paid,fulfilled,248.28,1800.0,0.0,03/01/2018 22:03:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,SEYMOUR
MX29-1702,paid,fulfilled,468.97,3400.0,0.0,03/01/2018 22:17:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,STANLEY
MX29-1703,paid,fulfilled,248.28,1800.0,0.0,05/01/2018 18:17:00,1,0.01,No cancelado,Cash,0.0,Tienda A,pos,Micas Oftalmicas
MX29-1704,paid,fulfilled,248.28,1800.0,0.0,05/01/2018 18:37:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CAMARENA
MX29-1705,paid,fulfilled,248.28,1800.0,0.0,05/01/2018 19:04:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,DARIA
MX29-1706,paid,fulfilled,248.28,1800.0,0.0,05/01/2018 19:10:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS
MX29-1707,paid,unfulfilled,248.28,1800.0,0.0,05/01/2018 19:54:00,1,1799.99,26/3/2018,Cash,0.0,Tienda A,pos,CHAVELA
MX29-1708,paid,fulfilled,227.58,1650.0,150.0,05/01/2018 20:03:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,CLARK
MX29-1709,paid,fulfilled,248.28,1800.0,0.0,05/01/2018 20:20:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,BARRAGAN
MX29-1710,paid,fulfilled,593.1,4300.0,0.0,05/01/2018 20:53:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,BARRAGAN
MX29-1711,paid,fulfilled,613.79,4450.0,0.0,05/01/2018 21:00:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS
MX29-1712,paid,fulfilled,248.28,1800.0,0.0,05/01/2018 21:01:00,1,1799.99,No cancelado,Cash + External Credit,0.0,Tienda A,pos,ALDOUS
MX29-1713,paid,fulfilled,248.28,1800.0,0.0,05/01/2018 21:11:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,JANIS
MX29-1714,paid,fulfilled,248.28,1800.0,0.0,05/01/2018 21:15:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MARTIN
MX29-1715,paid,fulfilled,248.28,1800.0,0.0,05/01/2018 21:20:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,JANIS
MX29-1716,partially_refunded,fulfilled,248.28,1800.0,0.0,05/01/2018 21:33:00,1,1799.99,No cancelado,Cash,150.0,Tienda A,pos,SEYMOUR
MX29-1717,paid,fulfilled,0.0,0.0,1800.0,05/01/2018 21:54:00,1,1799.99,No cancelado,No efectuado,0.0,Tienda A,pos,SEYMOUR
MX29-1718,paid,fulfilled,248.28,1800.0,0.0,05/01/2018 22:06:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,BARRAGAN
MX29-1719,paid,fulfilled,344.83,2500.0,0.0,05/01/2018 22:36:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS
MX29-1720,paid,fulfilled,0.0,0.0,1800.0,05/01/2018 22:40:00,1,1799.99,No cancelado,No efectuado,0.0,Tienda A,pos,LUCAS
MX29-1721,paid,fulfilled,248.28,1800.0,0.0,05/01/2018 22:51:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,ALDOUS
MX29-1722,paid,fulfilled,248.28,1800.0,0.0,05/01/2018 23:40:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CHAVELA
MX29-1723,partially_refunded,fulfilled,248.28,1800.0,0.0,06/01/2018 00:00:00,1,1799.99,No cancelado,Cash,150.0,Tienda A,pos,BARRAGAN
MX29-1724,paid,unfulfilled,248.28,1800.0,0.0,06/01/2018 00:10:00,1,1799.99,5/1/2018,Cash,0.0,Tienda A,pos,DARIA JR
MX29-1725,partially_refunded,fulfilled,248.28,1800.0,0.0,06/01/2018 00:14:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,DARIA JR
MX29-1726,paid,fulfilled,248.28,1800.0,0.0,06/01/2018 00:20:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,SEYMOUR
MX29-1727,paid,fulfilled,248.28,1800.0,0.0,06/01/2018 00:23:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,SEYMOUR
MX29-1728,paid,fulfilled,248.28,1800.0,0.0,06/01/2018 00:38:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN
MX29-1729,paid,fulfilled,248.28,1800.0,0.0,06/01/2018 00:40:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CAMARENA
MX29-1730,partially_refunded,fulfilled,252.41,1830.0,0.0,06/01/2018 00:54:00,1,1799.99,No cancelado,Cash + External Credit,150.0,Tienda A,pos,CAMARENA
MX29-1731,paid,fulfilled,496.55,3600.0,0.0,06/01/2018 01:03:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,DARIA JR
MX29-1732,paid,fulfilled,268.97,1950.0,0.0,06/01/2018 01:08:00,1,1950.0,No cancelado,External Credit,0.0,Tienda A,pos,Micas Progresivas
MX29-1733,partially_refunded,fulfilled,248.28,1800.0,0.0,06/01/2018 01:16:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,JANIS
MX29-1734,paid,fulfilled,344.83,2500.0,0.0,06/01/2018 01:28:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS
MX29-1735,paid,fulfilled,248.28,1800.0,0.0,06/01/2018 01:31:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,MOLEMAN
MX29-1736,paid,fulfilled,517.24,3750.0,0.0,06/01/2018 18:15:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ESQUIVEL
MX29-1737,paid,fulfilled,248.28,1800.0,0.0,06/01/2018 18:50:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,BARRAGAN
MX29-1738,paid,fulfilled,248.28,1800.0,0.0,06/01/2018 19:08:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,CAMARENA
MX29-1739,paid,fulfilled,248.28,1800.0,0.0,06/01/2018 19:26:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS
MX29-1740,paid,fulfilled,227.58,1650.0,150.0,06/01/2018 19:38:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CHAVELA
MX29-1741,paid,fulfilled,227.58,1650.0,150.0,06/01/2018 19:51:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,RUDYARD
MX29-1742,paid,fulfilled,517.24,3750.0,0.0,06/01/2018 21:22:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,RAMIREZ
MX29-1743,partially_refunded,fulfilled,248.28,1800.0,0.0,06/01/2018 22:38:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,PARKS
MX29-1744,paid,fulfilled,248.28,1800.0,0.0,06/01/2018 22:42:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,PARKS
MX29-1745,paid,fulfilled,248.28,1800.0,0.0,06/01/2018 22:55:00,1,1799.99,No cancelado,Cash + External Credit,0.0,Tienda A,pos,CLARK
MX29-1746,partially_refunded,fulfilled,517.24,3750.0,0.0,06/01/2018 23:02:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,BARRAGAN
MX29-1747,partially_refunded,fulfilled,317.24,2300.0,0.0,06/01/2018 23:11:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,CHAVELA
MX29-1748,paid,fulfilled,248.28,1800.0,0.0,06/01/2018 23:33:00,1,1799.99,No cancelado,Cash + External Credit,0.0,Tienda A,pos,BARRAGAN
MX29-1749,paid,fulfilled,248.28,1800.0,0.0,06/01/2018 23:42:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CHAVELA
MX29-1750,partially_refunded,fulfilled,248.28,1800.0,0.0,06/01/2018 23:49:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,ESQUIVEL
MX29-1751,partially_refunded,fulfilled,248.28,1800.0,0.0,06/01/2018 23:57:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,DARIA
MX29-1752,paid,fulfilled,344.83,2500.0,0.0,07/01/2018 00:17:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,GINSBERG
MX29-1753,paid,fulfilled,248.28,1800.0,0.0,07/01/2018 00:27:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CAMARENA
MX29-1754,paid,fulfilled,227.58,1650.0,150.0,07/01/2018 00:41:00,1,1799.99,No cancelado,Cash + External Credit,0.0,Tienda A,pos,ALDOUS
MX29-1755,paid,fulfilled,248.28,1800.0,0.0,07/01/2018 01:05:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,BARRAGAN
MX29-1756,paid,fulfilled,248.28,1800.0,0.0,07/01/2018 02:05:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,LUCAS
MX29-1757,paid,fulfilled,248.28,1800.0,0.0,07/01/2018 18:34:00,1,1799.99,No cancelado,Cash + External Credit,0.0,Tienda A,pos,MOLEMAN
MX29-1758,paid,fulfilled,248.28,1800.0,0.0,07/01/2018 18:52:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,SEYMOUR
MX29-1759,paid,fulfilled,248.28,1800.0,0.0,07/01/2018 18:59:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MARTIN
MX29-1760,paid,fulfilled,248.28,1800.0,0.0,07/01/2018 19:39:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,WOODY
MX29-1761,paid,fulfilled,248.28,1800.0,0.0,07/01/2018 19:42:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN
MX29-1762,paid,fulfilled,248.28,1800.0,0.0,07/01/2018 19:55:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN
MX29-1763,paid,fulfilled,248.28,1800.0,0.0,07/01/2018 20:13:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,PARKS
MX29-1764,paid,fulfilled,248.28,1800.0,0.0,07/01/2018 20:19:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,GINSBERG
MX29-1765,paid,fulfilled,220.69,1600.0,1800.0,07/01/2018 20:28:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,JANIS
MX29-1766,paid,fulfilled,4.14,30.0,0.0,07/01/2018 21:18:00,1,30.0,No cancelado,Cash,0.0,Tienda A,pos,Polanco
MX29-1767,paid,fulfilled,496.55,3600.0,0.0,07/01/2018 21:41:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,SEYMOUR
MX29-1768,paid,fulfilled,593.1,4300.0,0.0,07/01/2018 21:48:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS
MX29-1769,paid,fulfilled,248.28,1800.0,0.0,07/01/2018 22:10:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN
MX29-1770,paid,fulfilled,124.14,900.0,0.0,07/01/2018 22:57:00,2,450.0,No cancelado,External Credit,0.0,Tienda A,pos,Mica Monofocal
MX29-1771,paid,fulfilled,248.28,1800.0,0.0,07/01/2018 23:02:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,ALDOUS
MX29-1772,paid,fulfilled,248.28,1800.0,0.0,07/01/2018 23:10:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,STANLEY
MX29-1773,paid,fulfilled,248.28,1800.0,0.0,07/01/2018 23:31:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,JANIS
MX29-1774,paid,fulfilled,248.28,1800.0,0.0,08/01/2018 00:22:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ESQUIVEL
MX29-1775,paid,fulfilled,248.28,1800.0,0.0,08/01/2018 00:37:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,RUDYARD
MX29-1776,paid,fulfilled,227.58,1650.0,150.0,08/01/2018 01:20:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,STANLEY
MX29-1777,paid,fulfilled,344.83,2500.0,0.0,08/01/2018 01:28:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS
MX29-1778,paid,fulfilled,248.28,1800.0,0.0,08/01/2018 02:05:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,WALTER
MX29-1779,partially_refunded,fulfilled,248.28,1800.0,0.0,08/01/2018 18:08:00,1,1799.99,No cancelado,Cash,151.0,Tienda A,pos,SEYMOUR
MX29-1780,paid,fulfilled,248.28,1800.0,0.0,08/01/2018 18:42:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CLARK
MX29-1781,partially_refunded,fulfilled,248.28,1800.0,0.0,08/01/2018 21:20:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,ESQUIVEL
MX29-1782,paid,fulfilled,248.28,1800.0,0.0,08/01/2018 21:52:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,SEYMOUR
MX29-1783,paid,fulfilled,227.58,1650.0,150.0,09/01/2018 00:58:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ESQUIVEL
MX29-1784,paid,fulfilled,248.28,1800.0,0.0,09/01/2018 18:29:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,PARKS
MX29-1785,paid,fulfilled,248.28,1800.0,0.0,09/01/2018 18:34:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,RUDYARD
MX29-1786,paid,fulfilled,248.28,1800.0,0.0,09/01/2018 18:44:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,SEYMOUR
MX29-1787,paid,fulfilled,517.24,3750.0,0.0,09/01/2018 19:14:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CLARK
MX29-1788,paid,fulfilled,517.24,3750.0,0.0,09/01/2018 20:00:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,JANIS
MX29-1789,paid,fulfilled,248.28,1800.0,0.0,09/01/2018 22:23:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MARTIN
MX29-1790,paid,fulfilled,248.28,1800.0,0.0,09/01/2018 22:29:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,ESQUIVEL
MX29-1791,paid,fulfilled,248.28,1800.0,0.0,09/01/2018 22:48:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,COOPER
MX29-1792,paid,fulfilled,227.58,1650.0,150.0,09/01/2018 23:36:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,SEYMOUR
MX29-1793,paid,fulfilled,124.14,900.0,0.0,09/01/2018 23:38:00,2,450.0,No cancelado,External Credit,0.0,Tienda A,pos,Mica Monofocal
MX29-1794,paid,fulfilled,344.83,2500.0,0.0,10/01/2018 00:10:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS
MX29-1795,paid,fulfilled,0.0,0.0,1800.0,10/01/2018 00:17:00,1,1799.99,No cancelado,No efectuado,0.0,Tienda A,pos,MOLEMAN
MX29-1796,partially_refunded,fulfilled,517.24,3750.0,0.0,10/01/2018 01:00:00,1,1799.99,No cancelado,External Credit,1950.0,Tienda A,pos,CLARK
MX29-1797,partially_refunded,fulfilled,248.28,1800.0,0.0,10/01/2018 01:10:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,ESQUIVEL
MX29-1798,partially_refunded,fulfilled,248.28,1800.0,0.0,10/01/2018 01:15:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,JANIS
MX29-1799,paid,fulfilled,468.97,3400.0,0.0,11/01/2018 18:24:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN
MX29-1800,paid,fulfilled,23.45,170.0,0.0,11/01/2018 18:45:00,1,70.0,No cancelado,External Credit,0.0,Tienda A,pos,Polanco
MX29-1801,paid,fulfilled,227.58,1650.0,150.0,11/01/2018 22:04:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,PARKS
MX29-1802,paid,fulfilled,248.28,1800.0,0.0,11/01/2018 22:16:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,ALDOUS
MX29-1803,paid,fulfilled,248.28,1800.0,0.0,11/01/2018 22:42:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,CLARK
MX29-1804,paid,fulfilled,248.28,1800.0,0.0,12/01/2018 18:51:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,DARIA
MX29-1805,paid,fulfilled,248.28,1800.0,0.0,12/01/2018 19:27:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,ALDOUS
MX29-1806,paid,fulfilled,248.28,1800.0,0.0,13/01/2018 00:30:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ESQUIVEL
MX29-1807,paid,fulfilled,248.28,1800.0,0.0,13/01/2018 00:44:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,RUDYARD
MX29-1808,paid,fulfilled,248.28,1800.0,0.0,13/01/2018 00:48:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ESQUIVEL
MX29-1809,paid,fulfilled,248.28,1800.0,0.0,13/01/2018 00:53:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,SEYMOUR
MX29-1810,paid,fulfilled,517.24,3750.0,0.0,13/01/2018 01:13:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CLARK
MX29-1811,paid,fulfilled,248.28,1800.0,0.0,13/01/2018 01:28:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,PARKS
MX29-1812,paid,fulfilled,517.24,3750.0,0.0,13/01/2018 01:56:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS
MX29-1813,paid,fulfilled,248.28,1800.0,0.0,13/01/2018 18:41:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,DARIA
MX29-1814,paid,fulfilled,496.55,3600.0,0.0,13/01/2018 19:05:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS
MX29-1815,paid,fulfilled,227.58,1650.0,150.0,13/01/2018 19:31:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN
MX29-1816,paid,fulfilled,248.28,1800.0,0.0,13/01/2018 19:35:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,RAMIREZ
MX29-1817,partially_refunded,fulfilled,248.27,1800.0,0.0,13/01/2018 19:40:00,1,1799.99,No cancelado,Gift Card,150.0,Tienda A,pos,SEYMOUR
MX29-1818,paid,fulfilled,227.58,1650.0,150.0,13/01/2018 19:47:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,SEYMOUR
MX29-1819,paid,fulfilled,248.28,1800.0,0.0,13/01/2018 19:50:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN
MX29-1820,paid,fulfilled,227.58,1650.0,150.0,13/01/2018 19:56:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,RUDYARD
MX29-1821,paid,fulfilled,248.28,1800.0,0.0,13/01/2018 20:19:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN
MX29-1822,paid,fulfilled,248.28,1800.0,0.0,13/01/2018 23:11:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MARTIN
MX29-1823,paid,fulfilled,248.28,1800.0,0.0,13/01/2018 23:15:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,SEYMOUR
MX29-1824,paid,fulfilled,248.28,1800.0,0.0,13/01/2018 23:17:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,SEYMOUR
MX29-1825,paid,fulfilled,248.28,1800.0,0.0,14/01/2018 00:37:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,SEYMOUR
MX29-1826,paid,fulfilled,248.28,1800.0,0.0,14/01/2018 00:40:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,LUCAS
MX29-1827,refunded,unfulfilled,248.28,1800.0,0.0,14/01/2018 01:09:00,1,1799.99,13/1/2018,Cash,1800.0,Tienda A,pos,LUCAS
