Name,Financial Status,Fulfillment Status,Taxes,Total,Discount Amount,Created_at (UTC),Lineitem quantity,Lineitem price,Cancelled at,Payment Method,Refunded Amount,Location,Source,Lineitem name,Day,Day_Type,Hour,Month,Horario_correcto
MX29-1673,partially_refunded,fulfilled,468.97,3400.0,0.0,02/01/2018 18:24:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,MARTIN,Martes,Entre Semana,18,Enero,True
MX29-1689,paid,fulfilled,227.58,1650.0,150.0,03/01/2018 18:13:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,STANLEY,Miercoles,Entre Semana,18,Enero,True
MX29-1690,paid,fulfilled,248.28,1800.0,0.0,03/01/2018 18:24:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,HAWKING,Miercoles,Entre Semana,18,Enero,True
MX29-1691,paid,fulfilled,496.55,3600.0,150.0,03/01/2018 19:03:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN,Miercoles,Entre Semana,19,Enero,True
MX29-1692,paid,fulfilled,248.28,1800.0,0.0,03/01/2018 19:10:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,SEYMOUR,Miercoles,Entre Semana,19,Enero,True
MX29-1693,paid,fulfilled,248.28,1800.0,0.0,03/01/2018 19:33:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CHAVELA,Miercoles,Entre Semana,19,Enero,True
MX29-1694,paid,fulfilled,248.28,1800.0,0.0,03/01/2018 19:44:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,HAWKING,Miercoles,Entre Semana,19,Enero,True
MX29-1703,paid,fulfilled,248.28,1800.0,0.0,05/01/2018 18:17:00,1,0.01,No cancelado,Cash,0.0,Tienda A,pos,Micas Oftalmicas,Viernes,Fin de Semana,18,Enero,True
MX29-1704,paid,fulfilled,248.28,1800.0,0.0,05/01/2018 18:37:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CAMARENA,Viernes,Fin de Semana,18,Enero,True
MX29-1705,paid,fulfilled,248.28,1800.0,0.0,05/01/2018 19:04:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,DARIA,Viernes,Fin de Semana,19,Enero,True
MX29-1706,paid,fulfilled,248.28,1800.0,0.0,05/01/2018 19:10:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS,Viernes,Fin de Semana,19,Enero,True
MX29-1707,paid,unfulfilled,248.28,1800.0,0.0,05/01/2018 19:54:00,1,1799.99,26/3/2018,Cash,0.0,Tienda A,pos,CHAVELA,Viernes,Fin de Semana,19,Enero,True
MX29-1736,paid,fulfilled,517.24,3750.0,0.0,06/01/2018 18:15:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ESQUIVEL,Sábado,Fin de Semana,18,Enero,True
MX29-1737,paid,fulfilled,248.28,1800.0,0.0,06/01/2018 18:50:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,BARRAGAN,Sábado,Fin de Semana,18,Enero,True
MX29-1738,paid,fulfilled,248.28,1800.0,0.0,06/01/2018 19:08:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,CAMARENA,Sábado,Fin de Semana,19,Enero,True
MX29-1739,paid,fulfilled,248.28,1800.0,0.0,06/01/2018 19:26:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS,Sábado,Fin de Semana,19,Enero,True
MX29-1740,paid,fulfilled,227.58,1650.0,150.0,06/01/2018 19:38:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CHAVELA,Sábado,Fin de Semana,19,Enero,True
MX29-1741,paid,fulfilled,227.58,1650.0,150.0,06/01/2018 19:51:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,RUDYARD,Sábado,Fin de Semana,19,Enero,True
