Name,Financial Status,Fulfillment Status,Taxes,Total,Discount Amount,Created_at (UTC),Lineitem quantity,Lineitem price,Cancelled at,Payment Method,Refunded Amount,Location,Source,Lineitem name
MX29-1673,partially_refunded,fulfilled,468.97,3400,0,02/01/2018 18:24:00,1,1799.99,,External Credit,150,Tienda A,pos,MARTIN
MX29-1673,,,,,,02/01/2018 18:24:00,1,1600.01,,,,,,Micas Oftalmicas
MX29-1674,paid,fulfilled,344.83,2500,0,02/01/2018 20:54:00,1,1799.99,,External Credit,0,Tienda A,pos,ALDOUS
MX29-1674,,,,,,02/01/2018 20:54:00,1,700,,,,,,Clipon
MX29-1674,,,,,,02/01/2018 20:54:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1675,paid,fulfilled,248.28,1800,0,02/01/2018 21:15:00,1,1799.99,,External Credit,0,Tienda A,pos,DARIA JR
MX29-1675,,,,,,02/01/2018 21:15:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1676,paid,fulfilled,248.28,1800,0,02/01/2018 22:45:00,1,1799.99,,External Credit,0,Tienda A,pos,JANIS
MX29-1676,,,,,,02/01/2018 22:45:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1677,paid,fulfilled,227.58,1650,150,02/01/2018 23:16:00,1,1799.99,,External Credit,0,Tienda A,pos,ESQUIVEL
MX29-1677,,,,,,02/01/2018 23:16:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1678,partially_refunded,fulfilled,248.28,1800,0,02/01/2018 23:22:00,1,1799.99,,External Credit,150,Tienda A,pos,HAWKING
MX29-1678,,,,,,02/01/2018 23:22:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1679,paid,fulfilled,227.58,1650,150,02/01/2018 23:28:00,1,1799.99,,External Credit,0,Tienda A,pos,DARIA JR
MX29-1679,,,,,,02/01/2018 23:28:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1680,,,,,,03/01/2018 00:02:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1680,paid,fulfilled,248.28,1800,0,03/01/2018 00:02:00,1,1799.99,,External Credit,0,Tienda A,pos,PARKS
MX29-1681,,,,,,03/01/2018 00:10:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1681,partially_refunded,fulfilled,248.28,1800,0,03/01/2018 00:10:00,1,1799.99,,Cash,150,Tienda A,pos,MOLEMAN
MX29-1682,,,,,,03/01/2018 00:45:00,1,1950.01,,,,,,Micas Oftalmicas
MX29-1682,paid,fulfilled,238.34,3600,150,03/01/2018 00:45:00,1,1799.99,,External Credit,0,Tienda A,pos,WALTER
MX29-1683,,,,,,03/01/2018 00:52:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1683,paid,fulfilled,248.28,1800,0,03/01/2018 00:52:00,1,1799.99,,Cash,0,Tienda A,pos,RUDYARD
MX29-1684,,,,,,03/01/2018 01:15:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1684,partially_refunded,fulfilled,248.28,1800,0,03/01/2018 01:15:00,1,1799.99,,External Credit,150,Tienda A,pos,RAMIREZ
MX29-1685,partially_refunded,fulfilled,248.28,1800,0,03/01/2018 01:20:00,1,1799.99,,External Credit,150,Tienda A,pos,ESQUIVEL
MX29-1685,,,,,,03/01/2018 01:20:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1686,paid,fulfilled,517.24,3750,0,03/01/2018 01:39:00,1,1799.99,,External Credit,0,Tienda A,pos,MARTIN
MX29-1686,,,,,,03/01/2018 01:39:00,1,1950.01,,,,,,Micas Oftalmicas
MX29-1687,,,,,,03/01/2018 01:45:00,1,500,,,,,,Antireflejante para la luz azul
MX29-1687,,,,,,03/01/2018 01:45:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1687,paid,fulfilled,317.24,2300,0,03/01/2018 01:45:00,1,1799.99,,External Credit,0,Tienda A,pos,SEYMOUR
MX29-1688,partially_refunded,fulfilled,248.28,1800,0,03/01/2018 01:50:00,1,1799.99,,Cash,150,Tienda A,pos,CLARK
MX29-1688,,,,,,03/01/2018 01:50:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1689,,,,,,03/01/2018 18:13:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1689,paid,fulfilled,227.58,1650,150,03/01/2018 18:13:00,1,1799.99,,External Credit,0,Tienda A,pos,STANLEY
MX29-1690,paid,fulfilled,248.28,1800,0,03/01/2018 18:24:00,1,1799.99,,External Credit,0,Tienda A,pos,HAWKING
MX29-1690,,,,,,03/01/2018 18:24:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1691,,,,,,03/01/2018 19:03:00,1,1950.01,,,,,,Micas Oftalmicas
MX29-1691,paid,fulfilled,496.55,3600,150,03/01/2018 19:03:00,1,1799.99,,External Credit,0,Tienda A,pos,MOLEMAN
MX29-1692,,,,,,03/01/2018 19:10:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1692,paid,fulfilled,248.28,1800,0,03/01/2018 19:10:00,1,1799.99,,Cash,0,Tienda A,pos,SEYMOUR
MX29-1693,paid,fulfilled,248.28,1800,0,03/01/2018 19:33:00,1,1799.99,,External Credit,0,Tienda A,pos,CHAVELA
MX29-1693,,,,,,03/01/2018 19:33:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1694,paid,fulfilled,248.28,1800,0,03/01/2018 19:44:00,1,1799.99,,External Credit,0,Tienda A,pos,HAWKING
MX29-1694,,,,,,03/01/2018 19:44:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1695,,,,,,03/01/2018 20:21:00,1,700,,,,,,Clipon
MX29-1695,partially_refunded,fulfilled,96.55,700,1800,03/01/2018 20:21:00,1,1799.99,,External Credit,150,Tienda A,pos,DARIA JR
MX29-1695,,,,,,03/01/2018 20:21:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1696,paid,fulfilled,248.28,1800,0,03/01/2018 20:32:00,1,1799.99,,Cash,0,Tienda A,pos,ALDOUS
MX29-1696,,,,,,03/01/2018 20:32:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1697,paid,fulfilled,248.28,1800,0,03/01/2018 20:37:00,1,1799.99,,External Credit,0,Tienda A,pos,JANIS
MX29-1697,,,,,,03/01/2018 20:37:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1698,,,,,,03/01/2018 21:14:00,1,1799.99,,,,,,CLARK
MX29-1698,,,,,,03/01/2018 21:14:00,2,0.01,,,,,,Micas Oftalmicas
MX29-1698,paid,fulfilled,496.55,3600,0,03/01/2018 21:14:00,1,1799.99,,External Credit,0,Tienda A,pos,SEYMOUR
MX29-1699,,,,,,03/01/2018 21:54:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1699,paid,fulfilled,248.28,1800,0,03/01/2018 21:54:00,1,1799.99,,External Credit,0,Tienda A,pos,MOLEMAN
MX29-1700,,,,,,03/01/2018 22:00:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1700,paid,fulfilled,248.28,1800,0,03/01/2018 22:00:00,1,1799.99,,External Credit,0,Tienda A,pos,RUDYARD
MX29-1701,,,,,,03/01/2018 22:03:00,1,0.01,,,,,,Micas Oftalmicas
MX29-1701,paid,fulfilled,248.28,1800,0,03/01/2018 22:03:00,1,1799.99,,External Credit,0,Tienda A,pos,SEYMOUR
MX29-1702,,,,,,03/01/2018 22:17:00,1,1600.01,,,,,,Micas Oftalmicas
MX29-1702,paid,fulfilled,468.97,3400,0,03/01/2018 22:17:00,1,1799.99,,External Credit,0,Tienda A,pos,STANLEY
MX29-1703,,,,,,05/01/2018 18:17:00,1,1799.99,,,,,,GINSBERG
MX29-1703,paid,fulfilled,248.28,1800,0,05/01/2018 18:17:00,1,0.01,,Cash,0,Tienda A,pos,Micas Oftalmicas
MX29-1704,paid,fulfilled,248.28,1800,0,05/01/2018 18:37:00,1,1799.99,,External Credit,0,Tienda A,pos,CAMARENA
MX29-1704,,,,,,05/01/2018 18:37:00,1,0.01,,,,,,Micas Oftalmicas
